Location,Price,Sq. ft.,Ba,Br,Link
"9103 White Coral Dr, Austin, TX 78729","$495,000 ","1,898 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/9103-White-Coral-Dr-Austin-TX-78729/250925789_zpid/
"918 Pittsburgh Dr #100, Austin, TX 78748","$495,000 ","2,038 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/918-Pittsburgh-Dr-100-Austin-TX-78748/2058266292_zpid/
"6819 Ashprington Ln, Austin, TX 78754","$385,000 ","2,391 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/6819-Ashprington-Ln-Austin-TX-78754/29421813_zpid/
"8102 Verbank Villa Dr, Austin, TX 78747","$384,900 ","1,752 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/8102-Verbank-Villa-Dr-Austin-TX-78747/70342151_zpid/
"5732 Signal Point, Austin, TX 78724","$315,000 ","1,320 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5732-Signal-Point-Austin-TX-78724/29396954_zpid/
"12504 Esplanade St, Austin, TX 78727","$385,000 ","1,235 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/12504-Esplanade-St-Austin-TX-78727/29440728_zpid/
"8501 Thompson Teal Trl, Austin, TX 78744","$778,131 ","2,558 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/8501-Thompson-Teal-Trl-Austin-TX-78744/2058220179_zpid/
"1801 Alamo Heights Ave, Austin, TX 78754","$465,000 ","1,922 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/1801-Alamo-Heights-Ave-Austin-TX-78754/305415119_zpid/
"10305 Beard Ave, Austin, TX 78748","$675,000 ","2,190 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/10305-Beard-Ave-Austin-TX-78748/64852699_zpid/
"11508 Indianhead Dr, Austin, TX 78753","$550,000 ","1,635 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/11508-Indianhead-Dr-Austin-TX-78753/58303110_zpid/
"2503 Wood Chase Trl, Austin, TX 78728","$475,000 ","2,468 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/2503-Wood-Chase-Trl-Austin-TX-78728/29451505_zpid/
"3008 Burks Ln, Austin, TX 78732","$750,000 ","2,563 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/3008-Burks-Ln-Austin-TX-78732/29357041_zpid/
"5805 Brook Valley Dr, Austin, TX 78724","$449,000 ","1,553 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5805-Brook-Valley-Dr-Austin-TX-78724/29404549_zpid/
"1021 Quail Park Dr, Austin, TX 78758","$759,000 ","2,522 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1021-Quail-Park-Dr-Austin-TX-78758/29427604_zpid/
"11234 Wyola Bnd, Austin, TX 78717","$750,000 ","2,661 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/11234-Wyola-Bnd-Austin-TX-78717/116080300_zpid/
"9921 Baxter Ln, Austin, TX 78736","$950,000 ","4,790 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/9921-Baxter-Ln-Austin-TX-78736/29481925_zpid/
"4912 Dorchester Heights Ln, Austin, TX 78754","$324,900 ","1,613 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/4912-Dorchester-Heights-Ln-Austin-TX-78754/63836067_zpid/
"5401 Wellington Dr, Austin, TX 78723","$559,900 ","1,370 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/5401-Wellington-Dr-Austin-TX-78723/29402367_zpid/
"8408 Cayuga Dr, Austin, TX 78749","$650,000 ","1,615 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/8408-Cayuga-Dr-Austin-TX-78749/29494139_zpid/
"5804 Levenwood Ln, Austin, TX 78724","$329,900 ","1,510 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5804-Levenwood-Ln-Austin-TX-78724/111372400_zpid/
"12348 Donovan Cir, Austin, TX 78753","$375,000 ","1,796 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/12348-Donovan-Cir-Austin-TX-78753/29436902_zpid/
"6317 Florencia Ln, Austin, TX 78724","$699,000 ","2,264 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/6317-Florencia-Ln-Austin-TX-78724/305426406_zpid/
"13908 Cantata Ln, Pflugerville, TX 78660","$435,000 ","1,706 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/13908-Cantata-Ln-Pflugerville-TX-78660/251029781_zpid/
"2516 Dove Springs Dr, Austin, TX 78744","$343,000 ","1,014 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/2516-Dove-Springs-Dr-Austin-TX-78744/29502472_zpid/
"9204 Pioneer Forest Dr, Austin, TX 78744","$328,000 ","1,492 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/9204-Pioneer-Forest-Dr-Austin-TX-78744/63838926_zpid/
"5120 Eagle Trace Trl, Austin, TX 78730","$1,700,000 ","4,277 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/5120-Eagle-Trace-Trl-Austin-TX-78730/64885541_zpid/
"7903 Bannock Ln, Austin, TX 78747","$429,900 ","2,761 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/7903-Bannock-Ln-Austin-TX-78747/64665551_zpid/
"8507 Selway Dr, Austin, TX 78736","$435,000 ","1,564 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/8507-Selway-Dr-Austin-TX-78736/29477863_zpid/
