,Location,Price,Sqft,Bath,Bed,Street,zipcode,kmeans
0,"9103 White Coral Dr, Austin, TX 78729",495000,1898,3,3,9103 White Coral Dr,78729,8
1,"918 Pittsburgh Dr #100, Austin, TX 78748",495000,2038,3,3,918 Pittsburgh Dr #100,78748,8
2,"6819 Ashprington Ln, Austin, TX 78754",385000,2391,2,4,6819 Ashprington Ln,78754,2
3,"8102 Verbank Villa Dr, Austin, TX 78747",384900,1752,2,4,8102 Verbank Villa Dr,78747,2
4,"5732 Signal Point, Austin, TX 78724",315000,1320,2,3,5732 Signal Point,78724,1
5,"12504 Esplanade St, Austin, TX 78727",385000,1235,2,3,12504 Esplanade St,78727,1
6,"8501 Thompson Teal Trl, Austin, TX 78744",778131,2558,3,4,8501 Thompson Teal Trl,78744,2
7,"1801 Alamo Heights Ave, Austin, TX 78754",465000,1922,2,4,1801 Alamo Heights Ave,78754,2
8,"10305 Beard Ave, Austin, TX 78748",675000,2190,3,3,10305 Beard Ave,78748,8
9,"11508 Indianhead Dr, Austin, TX 78753",550000,1635,2,4,11508 Indianhead Dr,78753,2
10,"2503 Wood Chase Trl, Austin, TX 78728",475000,2468,3,4,2503 Wood Chase Trl,78728,2
11,"3008 Burks Ln, Austin, TX 78732",750000,2563,2,3,3008 Burks Ln,78732,1
12,"5805 Brook Valley Dr, Austin, TX 78724",449000,1553,2,3,5805 Brook Valley Dr,78724,1
13,"1021 Quail Park Dr, Austin, TX 78758",759000,2522,2,3,1021 Quail Park Dr,78758,1
14,"11234 Wyola Bnd, Austin, TX 78717",750000,2661,4,4,11234 Wyola Bnd,78717,7
15,"9921 Baxter Ln, Austin, TX 78736",950000,4790,4,5,9921 Baxter Ln,78736,6
16,"4912 Dorchester Heights Ln, Austin, TX 78754",324900,1613,2,3,4912 Dorchester Heights Ln,78754,1
17,"5401 Wellington Dr, Austin, TX 78723",559900,1370,2,4,5401 Wellington Dr,78723,2
18,"8408 Cayuga Dr, Austin, TX 78749",650000,1615,2,3,8408 Cayuga Dr,78749,1
19,"5804 Levenwood Ln, Austin, TX 78724",329900,1510,2,3,5804 Levenwood Ln,78724,1
